distance_m,longitude,latitude,altitude_m,gradient_deg
10400.0,27.819966,-26.724737,1484.4,0.29
10450.0,27.819875,-26.724294,1484.8,0.26
10500.0,27.819785,-26.723852,1485.4,0.24
10550.0,27.819694,-26.72341,1486.0,0.22
10600.0,27.819603,-26.722967,1486.6,0.19
10650.0,27.819511,-26.722525,1487.2,0.17
10700.0,27.819412,-26.722084,1487.8,0.15
10750.0,27.819297,-26.721647,1488.2,0.12
10800.0,27.819163,-26.721213,1488.6,0.1
10850.0,27.819017,-26.720783,1488.6,0.08
10900.0,27.818854,-26.720358,1488.2,0.06
10950.0,27.818694,-26.719931,1487.8,0.04
11000.0,27.818545,-26.719502,1487.4,0.02
11050.0,27.818425,-26.719065,1487.0,-0.0
11100.0,27.818367,-26.718619,1486.8,-0.02
11150.0,27.818349,-26.71817,1486.6,-0.03
11200.0,27.818312,-26.717721,1486.4,-0.05
11250.0,27.81828,-26.717273,1486.0,-0.06
11300.0,27.818239,-26.716825,1485.6,-0.07
11350.0,27.818184,-26.716379,1485.4,-0.07
11400.0,27.818097,-26.715936,1485.2,-0.08
11450.0,27.817996,-26.715496,1485.0,-0.08
11500.0,27.817866,-26.715061,1484.8,-0.08
11550.0,27.817738,-26.714627,1484.6,-0.07
11600.0,27.817624,-26.714189,1483.8,-0.07
11650.0,27.817502,-26.713752,1483.0,-0.06
11700.0,27.81737,-26.713318,1482.2,-0.04
11750.0,27.817218,-26.71289,1481.6,-0.03
11800.0,27.817064,-26.712462,1481.0,-0.01
11850.0,27.816913,-26.712033,1480.6,0.01
11900.0,27.816742,-26.71161,1480.2,0.03
11950.0,27.816529,-26.711203,1479.8,0.05
12000.0,27.816293,-26.710806,1479.2,0.07
12050.0,27.816052,-26.710411,1478.8,0.1
12100.0,27.815847,-26.71,1478.6,0.13
12150.0,27.815604,-26.709607,1477.8,0.15
12200.0,27.815347,-26.70922,1477.0,0.18
12250.0,27.815092,-26.708833,1477.0,0.21
12300.0,27.814837,-26.708445,1476.8,0.24
12350.0,27.814595,-26.708051,1476.8,0.27
12400.0,27.814354,-26.707656,1477.4,0.3
12450.0,27.814116,-26.70726,1478.2,0.32
12500.0,27.813907,-26.70685,1478.4,0.35
12550.0,27.813723,-26.706432,1479.0,0.37
12600.0,27.813532,-26.706016,1479.6,0.39
12650.0,27.813315,-26.705611,1480.8,0.41
12700.0,27.813094,-26.705207,1482.4,0.43
12750.0,27.812856,-26.704811,1484.0,0.45
12800.0,27.812574,-26.704443,1485.2,0.46
12850.0,27.812309,-26.704061,1487.0,0.47
12900.0,27.812065,-26.703668,1488.7,0.48
12950.0,27.811827,-26.703272,1490.3,0.49
13000.0,27.811626,-26.702863,1491.9,0.49
13050.0,27.81139,-26.702468,1493.5,0.49
13100.0,27.811139,-26.702078,1494.1,0.49
13150.0,27.810893,-26.701686,1494.2,0.48
13200.0,27.810648,-26.701294,1493.8,0.48
13250.0,27.810397,-26.700903,1493.4,0.47
13300.0,27.810147,-26.700513,1493.2,0.46
13350.0,27.809896,-26.700123,1493.4,0.44
13400.0,27.80965,-26.699731,1494.2,0.43
13450.0,27.809404,-26.699339,1495.0,0.41
13500.0,27.809157,-26.698947,1495.8,0.39
13550.0,27.808911,-26.698555,1496.4,0.37
13600.0,27.808664,-26.698163,1497.2,0.36
13650.0,27.808418,-26.697771,1497.4,0.33
13700.0,27.808165,-26.697382,1497.6,0.31
13750.0,27.807912,-26.696993,1497.8,0.29
13800.0,27.80765,-26.696609,1498.0,0.27
13850.0,27.807386,-26.696227,1498.0,0.25
13900.0,27.807086,-26.69587,1498.0,0.22
13950.0,27.806836,-26.69548,1498.0,0.2
14000.0,27.806582,-26.695092,1498.0,0.18
14050.0,27.806338,-26.694699,1498.0,0.16
14100.0,27.806129,-26.694291,1497.8,0.14
14150.0,27.805871,-26.693908,1497.6,0.12
14200.0,27.805593,-26.693533,1497.4,0.1
14250.0,27.805315,-26.693159,1497.2,0.08
14300.0,27.805036,-26.692784,1497.0,0.06
14350.0,27.804758,-26.692409,1497.0,0.04
14400.0,27.80448,-26.692034,1497.0,0.02
14450.0,27.804202,-26.69166,1497.2,0.0
14500.0,27.803924,-26.691285,1497.4,-0.02
14550.0,27.803605,-26.690943,1497.4,-0.03
14600.0,27.803318,-26.690573,1497.4,-0.05
14650.0,27.803043,-26.690197,1497.4,-0.07
14700.0,27.802759,-26.689826,1497.2,-0.08
14750.0,27.80248,-26.689452,1497.2,-0.1
14800.0,27.802255,-26.689052,1497.4,-0.11
14850.0,27.801979,-26.688678,1497.6,-0.12
14900.0,27.801693,-26.688309,1497.8,-0.14
14950.0,27.801406,-26.687939,1498.0,-0.15
15000.0,27.801127,-26.687565,1497.8,-0.16
15050.0,27.800852,-26.687188,1497.6,-0.18
15100.0,27.800578,-26.686811,1497.2,-0.19
15150.0,27.800304,-26.686434,1496.4,-0.2
15200.0,27.800031,-26.686056,1495.6,-0.21
15250.0,27.799758,-26.685678,1495.0,-0.22
15300.0,27.79948,-26.685304,1494.6,-0.23
15350.0,27.7992,-26.68493,1494.4,-0.24
15400.0,27.798921,-26.684556,1494.6,-0.25
15450.0,27.798642,-26.684182,1494.6,-0.26
15500.0,27.798362,-26.683808,1494.6,-0.27
15550.0,27.798083,-26.683433,1494.4,-0.28
15600.0,27.797804,-26.683059,1493.8,-0.28
15650.0,27.797525,-26.682685,1493.2,-0.29
15700.0,27.797196,-26.682357,1492.8,-0.3
15750.0,27.796914,-26.681984,1492.4,-0.31
15800.0,27.796646,-26.681604,1492.0,-0.31
15850.0,27.796374,-26.681225,1492.2,-0.32
15900.0,27.796112,-26.680842,1492.4,-0.33
15950.0,27.795866,-26.680452,1492.6,-0.33
16000.0,27.795583,-26.68008,1492.8,-0.34
16050.0,27.795304,-26.679706,1492.4,-0.34
16100.0,27.795025,-26.679332,1491.8,-0.34
16150.0,27.794745,-26.678958,1490.8,-0.35
16200.0,27.794466,-26.678584,1489.8,-0.35
16250.0,27.794191,-26.678207,1488.8,-0.36
16300.0,27.793914,-26.677832,1488.4,-0.36
16350.0,27.79363,-26.677461,1488.0,-0.36
16400.0,27.793355,-26.677084,1488.0,-0.37
16450.0,27.793089,-26.676703,1488.0,-0.37
16500.0,27.792828,-26.676318,1488.0,-0.37
16550.0,27.792567,-26.675933,1488.0,-0.37
16600.0,27.792306,-26.675549,1487.6,-0.37
16650.0,27.792046,-26.675164,1487.2,-0.38
16700.0,27.791785,-26.67478,1486.8,-0.38
16750.0,27.791524,-26.674395,1486.4,-0.38
16800.0,27.791263,-26.674011,1486.0,-0.38
16850.0,27.791005,-26.673625,1486.0,-0.38
16900.0,27.79076,-26.673232,1485.8,-0.38
16950.0,27.790534,-26.67283,1485.6,-0.38
17000.0,27.790321,-26.672423,1484.8,-0.39
17050.0,27.790109,-26.672015,1484.0,-0.39
17100.0,27.789911,-26.671602,1483.2,-0.39
17150.0,27.789713,-26.671188,1482.6,-0.39
17200.0,27.789515,-26.670775,1482.0,-0.39
17250.0,27.789322,-26.67036,1482.0,-0.39
17300.0,27.789134,-26.669943,1482.0,-0.39
17350.0,27.788946,-26.669526,1482.0,-0.39
17400.0,27.788757,-26.669109,1482.0,-0.4
17450.0,27.788569,-26.668692,1481.8,-0.4
17500.0,27.788381,-26.668275,1481.6,-0.4
17550.0,27.788191,-26.667858,1481.4,-0.4
17600.0,27.788,-26.667442,1481.0,-0.4
17650.0,27.787809,-26.667026,1480.6,-0.4
17700.0,27.787617,-26.66661,1480.4,-0.4
17750.0,27.787426,-26.666194,1480.2,-0.4
17800.0,27.787237,-26.665778,1480.0,-0.4
17850.0,27.787048,-26.665361,1480.0,-0.4
17900.0,27.786862,-26.664943,1479.6,-0.4
17950.0,27.786679,-26.664524,1479.2,-0.4
18000.0,27.78648,-26.664111,1478.8,-0.39
18050.0,27.786284,-26.663697,1478.4,-0.39
18100.0,27.786093,-26.663281,1477.4,-0.39
18150.0,27.785902,-26.662865,1476.8,-0.38
18200.0,27.785712,-26.662449,1476.2,-0.37
18250.0,27.785522,-26.662033,1475.6,-0.36
18300.0,27.785331,-26.661616,1474.8,-0.36
